date,monthly_sales
2021-01-31,95799.45
2021-02-28,107537.77
2021-03-31,110276.15
2021-04-30,118061.86
2021-05-31,118234.89
2021-06-30,118989.48
2021-07-31,106032.93
2021-08-31,107523.68
2021-09-30,96311.3
2021-10-31,99141.87
2021-11-30,112903.11
2021-12-31,109103.72
2022-01-31,116366.88
2022-02-28,127244.32
2022-03-31,136134.06
2022-04-30,130410.15
2022-05-31,118684.78
2022-06-30,129791.74
2022-07-31,136885.28
2022-08-31,129287.1
2022-09-30,132244.83
2022-10-31,120340.92
2022-11-30,120857.05
2022-12-31,136741.31
2023-01-31,142342.97
2023-02-28,149384.91
2023-03-31,157896.67
2023-04-30,158394.14
2023-05-31,158688.34
2023-06-30,158289.32
2023-07-31,153940.65
2023-08-31,152430.09
2023-09-30,151239.49
2023-10-31,154229.87
2023-11-30,146379.5
2023-12-31,157402.81
